Night,fert,Year,,,,,,,,,,,,,,
8/22/2019,2.687332568,Year 1 (2019),,,,,,,,,,,,,,
8/22/2019,4.699196804,Year 1 (2019),,,,,2.687332568,,6.34,,Year 1 (n=12),1.766202545,,,Year 1 (n=12),5.542668787
8/22/2019,2.160493827,Year 1 (2019),,,,,4.699196804,,4.21,,Year 2 (n=16),3.901333333,,,Year 2 (n=16),5.2475
8/22/2019,1.745002246,Year 1 (2019),,,,,2.160493827,,8.11,,,,,,,
8/23/2019,0.9,Year 1 (2019),,,,,1.745002246,,4.6,,,,,,,
8/23/2019,1.26,Year 1 (2019),,,,,0.9,,1.51,,,,,,,
8/23/2019,32.94,Year 1 (2019),,,,,1.26,,1.59,,,,,,,
8/23/2019,1.76,Year 1 (2019),,,,,1.76,,0.38,,,,,,,
8/23/2019,0,Year 1 (2019),,,,,0,,2.73,,,Year 1 (n=12),5.542668787,,Year 1 (n=12),1.766202545
8/23/2019,15.91,Year 1 (2019),,,,,1.01,,0.49,,,Year 2 (n=16),5.2475,,Year 2 (n=16),3.901333333
8/23/2019,1.01,Year 1 (2019),,,,,1.44,,0,,,,,,,
8/23/2019,1.44,Year 1 (2019),,,,,,,1.61,,,,,,,
8/13/2022,6.34,Year 2 (2022),,,,,,,7.32,,,,,,,
8/13/2022,4.21,Year 2 (2022),,,,,,,12.02,,,,,,,
8/13/2022,8.11,Year 2 (2022),,,,,,,2.29,,,,,,,
8/13/2022,4.6,Year 2 (2022),,,,,,,5.32,,,,,,,
8/13/2022,1.51,Year 2 (2022),,,,,,,,,,,,,,
8/13/2022,1.59,Year 2 (2022),,,,,,,,,,,,,,
8/15/2022,0.38,Year 2 (2022),,,,,,,,,,,,,,
8/15/2022,2.73,Year 2 (2022),,,,,,,,,,,,,,
8/15/2022,0.49,Year 2 (2022),,,,,,,,,,,,,,
8/15/2022,0,Year 2 (2022),,,,,,,,,,,,,,
8/15/2022,1.61,Year 2 (2022),,,,,,,,,,,,,,
8/15/2022,7.32,Year 2 (2022),,,,,,,,,,,,,,
8/15/2022,12.02,Year 2 (2022),,,,,,,,,,,,,,
8/15/2022,25.44,Year 2 (2022),,,,,,,,,,,,,,
8/15/2022,2.29,Year 2 (2022),,,,,,,,,,,,,,
8/15/2022,5.32,Year 2 (2022),,,,,,,,,,,,,,
